cid,brand,product,model_number,date_certified,category,frequency_band,wifi_support_list,wifi_n,wifi_ac,wifi_6,wifi_7
WFA114388,"Nokia Shanghai Bell Co., Ltd.",GPON ONT G-0425G-B,G-0425G-B,2024-12-17,Routers,2.4 GHz; 5 GHz,"n, ac",True,True,False,False
WFA126878,"Nokia Shanghai Bell Co., Ltd.",GPON G-1425G-D,G-1425G-D,2024-12-17,Routers,2.4 GHz; 5 GHz,"n, ac",True,True,False,False
WFA132542,ZTE Corporation,Wireless Router,K21 Pro,2024-12-16,Routers,2.4 GHz; 5 GHz,"n, ac, 6",True,True,True,False
WFA131001,"Nokia Shanghai Bell Co., Ltd.",GPON G-1425G-F,G-1425G-F,2024-12-16,Routers,2.4 GHz; 5 GHz,"n, ac",True,True,False,False
WFA133729,Shenzhen Tinno Mobile Technology Corp,tablet,T715DS,2024-12-16,"Tablets, Ereaders & Cameras",2.4 GHz; 5 GHz,"n, ac",True,True,False,False
WFA132832,"Nokia Shanghai Bell Co., Ltd.",GPON G-0425G-H,G-0425G-H,2024-12-16,Routers,2.4 GHz; 5 GHz,"n, ac",True,True,False,False
WFA131257,"Nokia Shanghai Bell Co., Ltd.",GPON G-0425G-F,G-0425G-F,2024-12-16,Routers,2.4 GHz; 5 GHz,"n, ac",True,True,False,False
WFA132833,"Nokia Shanghai Bell Co., Ltd.",GPON G-1425G-J,G-1425G-J,2024-12-16,Routers,2.4 GHz; 5 GHz,"n, ac",True,True,False,False
WFA131256,"Nokia Shanghai Bell Co., Ltd.",GPON G-1425G-H,G-1425G-H,2024-12-16,Routers,2.4 GHz; 5 GHz,"n, ac",True,True,False,False
WFA130615,"Nokia Shanghai Bell Co., Ltd.",GPON G-1425G-E,G-1425G-E,2024-12-16,Routers,2.4 GHz; 5 GHz,"n, ac",True,True,False,False
WFA111377,"Nokia Shanghai Bell Co., Ltd.",GPON ONT G-1425G-A,G-1425G-A,2024-12-16,Routers,2.4 GHz; 5 GHz,"n, ac",True,True,False,False
WFA97782,"Nokia Shanghai Bell Co., Ltd.",GPON ONT G-2425G-A,G-2425G-A,2024-12-16,Routers,2.4 GHz; 5 GHz,"n, ac",True,True,False,False
WFA133086,Acer Inc.,Tablet PC,A24008,2024-12-13,"Tablets, Ereaders & Cameras",2.4 GHz; 5 GHz,"n, ac",True,True,False,False
WFA133502,"Brother Industries, Ltd.",Barcode Printer,TJ-6421TN,2024-12-12,Computers & Accessories,2.4 GHz; 5 GHz,"n, ac",True,True,False,False
WFA133793,"Hon Lin Technology Co., Ltd.",IVI ECU,2590AHC100,2024-12-12,Other,2.4 GHz; 5 GHz,"n, ac",True,True,False,False
WFA133500,"Brother Industries, Ltd.",Barcode Printer,TJ-6521TN,2024-12-12,Computers & Accessories,2.4 GHz; 5 GHz,"n, ac",True,True,False,False
WFA133774,H3C,H3C WA7220H WLAN AP with H3C WX Series WLAN Controller,H3C WA7220H WLAN AP,2024-12-12,Routers,2.4 GHz; 5 GHz,"n, ac, 6, 7",True,True,True,True
WFA133013,CVTE,Wireless module “M2B”,M2B,2024-12-12,Other,2.4 GHz; 5 GHz,n,True,False,False,False
WFA132283,"ZOWEE TECHNOLOGY(HEYUAN) CO., LTD.",5G CPE,H165-383,2024-12-12,Routers,2.4 GHz; 5 GHz,"n, ac, 6, 7",True,True,True,True
WFA133773,H3C,H3C WA7220 WLAN AP with H3C WX Series WLAN Controller,H3C WA7220 WLAN AP,2024-12-12,Routers,2.4 GHz; 5 GHz,"n, ac, 6, 7",True,True,True,True
WFA129292,Mudita Sp. z o.o.,GSM/WCDMA/LTE Mobile Phone,Kompakt,2024-12-11,Phones,2.4 GHz; 5 GHz,"n, ac",True,True,False,False
WFA123939,Sagemcom Broadband SAS,VSB3918 ALT ME,VSB3918,2024-12-11,Televisions & Set Top Boxes,2.4 GHz; 5 GHz,"n, ac, 6",True,True,True,False
WFA133770,Calix Inc.,GS4229E,GS4229E,2024-12-11,Routers,2.4 GHz; 5 GHz,"n, ac, 6",True,True,True,False
WFA133786,Honeywell Safety and Productivity Solutions,mobile computer,CT32X1,2024-12-10,Phones,2.4 GHz; 5 GHz; 6 GHz,"n, ac, 6",True,True,True,False
WFA133310,Franklin Technology Inc.,Mobile Hotspot,RG3102,2024-12-10,Routers,2.4 GHz; 5 GHz; 6 GHz,"n, ac, 6",True,True,True,False
WFA131888,Seiko Epson Corporation,WLAN BT Module,NH7,2024-12-10,Computers & Accessories,2.4 GHz; 5 GHz,"n, ac, 6",True,True,True,False
WFA133785,Honeywell Safety and Productivity Solutions,Mobile Computer,CT32X0,2024-12-10,Phones,2.4 GHz; 5 GHz; 6 GHz,"n, ac, 6",True,True,True,False
WFA133536,TCL Communication Ltd.,T440W,T440W,2024-12-10,Phones,2.4 GHz; 5 GHz,"n, ac",True,True,False,False
WFA133754,"Home Depot Product Authority, LLC",Smart Light Bulb,13T6E1240WRGB01,2024-12-10,Smart Home,2.4 GHz,n,True,False,False,False
WFA133755,"Home Depot Product Authority, LLC",Smart Light Bulb,13B111240WRGB01,2024-12-10,Smart Home,2.4 GHz,n,True,False,False,False
WFA133753,"Home Depot Product Authority, LLC",Smart Light Bulb,13A21150WRGBWH1,2024-12-10,Smart Home,2.4 GHz,n,True,False,False,False
WFA133554,"NavInfo Co.,Ltd.",6125 Plus Platfrom IVI_System,Skk1,2024-12-09,Other,2.4 GHz; 5 GHz,"n, ac",True,True,False,False
WFA133771,"Huawei Technologies Co., Ltd.",Optical Network Terminal,OptiXstar HG8145X7,2024-12-09,Routers,2.4 GHz; 5 GHz,"n, ac, 6",True,True,True,False
WFA133696,Robert Bosch Car Multimedia Suzhou,Cockpit Domain Controller,C5001,2024-12-09,Other,2.4 GHz; 5 GHz,"n, ac",True,True,False,False
WFA131737,HP Inc.,Smart Monitor,OMEN 32X,2024-12-09,Computers & Accessories,2.4 GHz; 5 GHz; 6 GHz,"n, ac, 6",True,True,True,False
WFA132987,Franklin Technology Inc.,Mobile Hotspot,RG350,2024-12-09,Routers,2.4 GHz; 5 GHz,"n, ac, 6",True,True,True,False
WFA133650,Broadcom Corporation,BCM94390,BCM94390,2024-12-09,Other,2.4 GHz; 5 GHz; 6 GHz,"n, ac, 6, 7",True,True,True,True
WFA132532,TCL Communication Ltd.,4G CPE,HH62V,2024-12-09,Routers,2.4 GHz; 5 GHz,"n, ac",True,True,False,False
WFA133003,Fortinet Inc.,FortiAP-241K,FortiAP-241K,2024-12-06,Routers,2.4 GHz; 5 GHz; 6 GHz,"n, ac, 6",True,True,True,False
WFA130757,"Espressif Systems (Shanghai) Co., Ltd.",2.4G&5G Wi-Fi 6 module,ESP32-C5,2024-12-06,Other,2.4 GHz; 5 GHz,"n, ac, 6",True,True,True,False
WFA133476,ZTE Corporation,Home Gateway,ZXHN F6705,2024-12-06,Routers,2.4 GHz; 5 GHz,"n, ac, 6, 7",True,True,True,True
WFA132766,"ECARX (Hubei) Tech Co.,Ltd.",Head Unit,DHU3013HQ,2024-12-06,Other,2.4 GHz; 5 GHz,"n, ac",True,True,False,False
WFA132828,H3C,H3C WA7220-HI WLAN AP with H3C WX Series WLAN Controller,H3C WA7220-HI WLAN AP with H3C WX Series WLAN Controller,2024-12-06,Routers,2.4 GHz; 5 GHz; 6 GHz,"n, ac, 6, 7",True,True,True,True
WFA131822,"Leviton Manufacturing Co., Inc.",Decora Evolve Smart Dimmer Module,VM2D3,2024-12-06,Smart Home,2.4 GHz,n,True,False,False,False
WFA131823,"Leviton Manufacturing Co., Inc.",Decora Evolve Smart Switch Module,VM2S1,2024-12-06,Smart Home,2.4 GHz,n,True,False,False,False
WFA131824,"Leviton Manufacturing Co., Inc.",Decora Smart Wi-Fi ELV Dimmer,D2ELV,2024-12-06,Smart Home,2.4 GHz,n,True,False,False,False
WFA133758,Bouygues Telecom,Bbox Wi-Fi 7,FAST 5696b,2024-12-05,Routers,2.4 GHz; 5 GHz; 6 GHz,"n, ac, 6, 7",True,True,True,True
WFA133759,Bouygues Telecom,Répéteur Bbox Wi-Fi 7,F380bg,2024-12-05,Routers,2.4 GHz; 5 GHz; 6 GHz,"n, ac, 6, 7",True,True,True,True
WFA132216,ZTE Corporation,Home Gateway,ZXHN F6705E,2024-12-05,Routers,2.4 GHz; 5 GHz,"n, ac, 6, 7",True,True,True,True
WFA132257,Vantiva,FGA228B,FGA228B,2024-12-05,Routers,2.4 GHz; 5 GHz,"n, ac, 6, 7",True,True,True,True
WFA132011,Amlogic Co. Ltd.,Amlogic W265 2T2R 802.11ax/ac/a/b/g/n and BT Combo,W265,2024-12-05,Other,2.4 GHz; 5 GHz,"n, ac, 6",True,True,True,False
WFA132276,Pegatron Corporation,5G Home Router,MG36AX-M719,2024-12-05,Routers,2.4 GHz; 5 GHz,"n, ac, 6",True,True,True,False
WFA133397,Amazon.com Services Inc,Smart Matter Plug,HPP-A11X-MW,2024-12-05,Smart Home,2.4 GHz,n,True,False,False,False
WFA127693,Qualcomm,Qualcomm FastConnect 7800 Mobile Connectivity system,WCN7850,2024-12-04,Computers & Accessories,2.4 GHz; 5 GHz; 6 GHz,"n, ac, 6, 7",True,True,True,True
WFA133550,Verizon,XC46BE,CRSP-VR,2024-12-04,Routers,2.4 GHz; 5 GHz,"n, ac, 6, 7",True,True,True,True
WFA133742,"ALPS ALPINE CO., LTD",Display Audio,iLX-T810,2024-12-04,Other,2.4 GHz; 5 GHz,"n, ac",True,True,False,False
WFA133741,"ALPS ALPINE CO., LTD",Display Audio,iLX-T809,2024-12-04,Other,2.4 GHz; 5 GHz,"n, ac",True,True,False,False
WFA133740,"ALPS ALPINE CO., LTD",Display Audio,iLX-W807,2024-12-04,Other,2.4 GHz; 5 GHz,"n, ac",True,True,False,False
WFA133738,Lenovo,Portable Tablet Computer,TB352XC；TB352XC1,2024-12-04,"Tablets, Ereaders & Cameras",2.4 GHz; 5 GHz,"n, ac, 6",True,True,True,False
WFA128184,Qualcomm,Qualcomm Networking Pro Tri-Band Wi-Fi 7 Platform,IPQ9574,2024-12-04,Other,2.4 GHz; 5 GHz; 6 GHz,"n, ac, 6, 7",True,True,True,True
WFA133586,Senwa Global International SA de CV,Smart Phone,AC50,2024-12-04,Phones,2.4 GHz; 5 GHz,"n, ac",True,True,False,False
WFA130772,NXP Semiconductors,RW612,RW612,2024-12-04,Other,2.4 GHz; 5 GHz,"n, ac, 6",True,True,True,False
WFA133623,Senwa Global International SA de CV,Mobile phone,AQ9,2024-12-04,Phones,2.4 GHz; 5 GHz,"n, ac",True,True,False,False
WFA132759,Hormann KG Verkaufsgesellschaft,WLAN-Gateway,WLAN-Gateway,2024-12-04,Smart Home,2.4 GHz,n,True,False,False,False
WFA133082,iRobot,Wi-Fi Single-band + BT Combo Module,6223A-SRD,2024-12-04,Other,2.4 GHz,n,True,False,False,False
WFA133730,ZTE Corporation,5G Digital Mobile Phone,NX732J,2024-12-03,Phones,2.4 GHz; 5 GHz; 6 GHz,"n, ac, 6",True,True,True,False
WFA132229,Visteon Corporation,MIB 10 Regio India Upgrade,MIB 10 Regio India Upgrade,2024-12-03,Other,2.4 GHz; 5 GHz,"n, ac",True,True,False,False
WFA125658,Nordic Semiconductor ASA,nRF7002 DK,nRF7002-DK,2024-12-03,Other,2.4 GHz; 5 GHz,"n, ac, 6",True,True,True,False
WFA133732,Honeywell Safety and Productivity Solutions,Mobile Computer,CT37X0N,2024-12-03,Phones,2.4 GHz; 5 GHz; 6 GHz,"n, ac, 6",True,True,True,False
WFA133727,TCL Communication Ltd.,T704SP,T704SP,2024-12-03,Phones,2.4 GHz; 5 GHz,"n, ac",True,True,False,False
WFA133707,Allied Telesis Holdings K.K.,AT-TQm3403,AT-TQm3403,2024-12-03,Routers,2.4 GHz; 5 GHz; 6 GHz,"n, ac, 6",True,True,True,False
WFA133726,TCL Communication Ltd.,T704V,T704V,2024-12-03,Phones,2.4 GHz; 5 GHz,"n, ac",True,True,False,False
WFA133699,"Tozed Kangwei Tech Co., Ltd",LTE Wireless Router,ZLT S90 PLUS,2024-12-03,Routers,2.4 GHz; 5 GHz,"n, ac, 6",True,True,True,False
WFA120988,"Panasonic Automotive Systems Co., Ltd.",Car Audio System,CL-MMNDN0GQ,2024-12-03,Other,2.4 GHz; 5 GHz,"n, ac",True,True,False,False
WFA133719,"Panasonic Automotive Systems Co., Ltd.",Car Audio System,CN-SS1EE1AE,2024-12-02,Other,2.4 GHz; 5 GHz,"n, ac",True,True,False,False
WFA132237,H3C,H3C WA7230 WLAN AP with H3C WX Series WLAN Controller,H3C WA7230 WLAN AP,2024-12-02,Routers,2.4 GHz; 5 GHz,"n, ac, 6, 7",True,True,True,True
WFA133638,Nokia Corporation,Nokia ONT G-0126G-A,G-0126G-A,2024-12-02,Routers,2.4 GHz; 5 GHz,"n, ac, 6",True,True,True,False
WFA133639,Nokia Corporation,Nokia WiFi Beacon G3.1,Beacon G3.1,2024-12-02,Routers,2.4 GHz; 5 GHz,"n, ac, 6",True,True,True,False
WFA133695,ZTE Corporation,LTE/WCDMA/GSM(GPRS) Multi-Mode Digital Mobile Phone,Z2461,2024-12-02,Phones,2.4 GHz; 5 GHz,"n, ac",True,True,False,False
WFA133718,"Panasonic Automotive Systems Co., Ltd.",Car Audio System,CN-SS1EE0AE,2024-12-02,Other,2.4 GHz; 5 GHz,"n, ac",True,True,False,False
WFA132059,Honeywell Safety and Productivity Solutions,Mobile Computer,CT37X1N,2024-12-02,Phones,2.4 GHz; 5 GHz; 6 GHz,"n, ac, 6",True,True,True,False
WFA133584,AiDot Inc.,Smart Hexagon Panels,LS0600116266S,2024-12-02,Other,2.4 GHz,n,True,False,False,False
WFA133585,AiDot Inc.,Smart Curtain Light,LS0600116267S,2024-12-02,Other,2.4 GHz,n,True,False,False,False
WFA133583,AiDot Inc.,Smart Light Bar,LS0600116265S,2024-12-02,Other,2.4 GHz,n,True,False,False,False
WFA132949,Samsung Electronics,RT8822EU,RT8822EU,2024-11-29,Televisions & Set Top Boxes,2.4 GHz; 5 GHz,"n, ac",True,True,False,False
WFA120703,NXP Semiconductors,IW612,IW612,2024-11-29,Other,2.4 GHz; 5 GHz,"n, ac, 6",True,True,True,False
WFA132333,"Nokia Shanghai Bell Co., Ltd.",Nokia ONT XS-2437X-B,XS-2437X-B,2024-11-29,Routers,2.4 GHz; 5 GHz; 6 GHz,"n, ac, 6, 7",True,True,True,True
WFA75710,Samsung Electronics,Wireless LAN adaptor,MT7603U,2024-11-29,Televisions & Set Top Boxes,2.4 GHz,n,True,False,False,False
WFA133171,Desay SV Automotive,EEBABCDE1,EEBABCDE1,2024-11-28,Other,2.4 GHz; 5 GHz,"n, ac",True,True,False,False
WFA119486,HP Inc.,HP Color LaserJet 5700,6QN28A,2024-11-28,Computers & Accessories,2.4 GHz; 5 GHz,"n, ac",True,True,False,False
WFA132489,"BICV Technology Co., Ltd.",ChangAn EADO Android 9.0,CA-MTK866XYT-A,2024-11-28,Other,2.4 GHz; 5 GHz,"n, ac",True,True,False,False
WFA133601,TP-Link Systems Inc.,BE7200 Dual Band Wi-Fi 7 GPON Router,XB432v,2024-11-28,Routers,2.4 GHz; 5 GHz,"n, ac, 6, 7",True,True,True,True
WFA131854,Hyundai Mobis,PBV IVI,PBV IVI SW1,2024-11-28,Routers,2.4 GHz; 5 GHz,"n, ac",True,True,False,False
WFA121648,Datalogic Srl,MEMOR 11,DL36LT,2024-11-27,Computers & Accessories,2.4 GHz; 5 GHz,"n, ac",True,True,False,False
WFA131839,Visteon Corporation,DHU2.5,E EB ABCDEF 1,2024-11-27,Other,2.4 GHz; 5 GHz,"n, ac, 6",True,True,True,False
WFA132879,Allied Telesis Holdings K.K.,AT-TQ3403,AT-TQ3403,2024-11-27,Routers,2.4 GHz; 5 GHz; 6 GHz,"n, ac, 6",True,True,True,False
WFA126057,MediaTek Inc.,MediaTek Filogic 360 - MT7925,MediaTek Filogic 360 - MT7925,2024-11-26,Other,2.4 GHz; 5 GHz; 6 GHz,"n, ac, 6, 7",True,True,True,True
WFA133672,NETGEAR,NightHawk M7 Mobile Hotspot,MR7500,2024-11-26,Routers,2.4 GHz; 5 GHz; 6 GHz,"n, ac, 6",True,True,True,False
WFA123230,Datalogic Srl,MEMOR 11,DL36WF,2024-11-26,Computers & Accessories,2.4 GHz; 5 GHz,"n, ac",True,True,False,False
WFA133328,"Z-ONE Technology Co., Ltd.",MODULE ASM-ZXD END,Z00A11A0,2024-11-26,Other,5 GHz,"n, ac",True,True,False,False
WFA133674,COOSEA  GROUP  (HK)  COMPANY  LIMITED,Smart Phone,SP545C,2024-11-26,Phones,2.4 GHz,n,True,False,False,False
WFA133493,"Grandstream Networks, Inc.",Wi-Fi 6 Router,GWN7062E,2024-11-25,Routers,2.4 GHz; 5 GHz,"n, ac, 6",True,True,True,False
WFA133494,"Grandstream Networks, Inc.",Wi-Fi 6 Router with FXS Ports,GWN7062ET,2024-11-25,Routers,2.4 GHz; 5 GHz,"n, ac, 6",True,True,True,False
WFA132201,Vantiva,XER5,XER5,2024-11-22,Routers,2.4 GHz; 5 GHz,"n, ac, 6, 7",True,True,True,True
WFA131909,Zyxel Communications Corporation,5G NR Indoor Router,NR5309,2024-11-22,Routers,2.4 GHz; 5 GHz,"n, ac, 6",True,True,True,False
WFA129834,I-MOBIL SOCIEDAD ANONIMA DE CAPITAL VARIABLE,5G CPE,iM524,2024-11-22,Routers,2.4 GHz; 5 GHz,"n, ac, 6",True,True,True,False
WFA132445,ZTE Corporation,RichMedia Box,ZXV10 B866V2F,2024-11-22,Televisions & Set Top Boxes,2.4 GHz; 5 GHz,"n, ac",True,True,False,False
WFA133605,"Huawei Technologies Co., Ltd.",Optical Network Terminal,OptiXstar HG8145X7b-10,2024-11-21,Routers,2.4 GHz; 5 GHz,"n, ac, 6",True,True,True,False
WFA133461,Lenovo,Portable Tablet Computer,TB305XU,2024-11-21,"Tablets, Ereaders & Cameras",2.4 GHz; 5 GHz,"n, ac",True,True,False,False
WFA129816,Samsung Electronics,SM-P625,SM-P625,2024-11-21,"Tablets, Ereaders & Cameras",2.4 GHz; 5 GHz,"n, ac",True,True,False,False
WFA124434,Samsung Electronics,SC-51D,SC-51D,2024-11-21,Phones,2.4 GHz; 5 GHz; 6 GHz,"n, ac, 6",True,True,True,False
WFA133603,"Huawei Technologies Co., Ltd.",Optical Network Terminal,OptiXstar HG8145X7,2024-11-21,Routers,2.4 GHz; 5 GHz,"n, ac, 6",True,True,True,False
WFA133604,"Huawei Technologies Co., Ltd.",Optical Network Terminal,OptiXstar HG8145X7b,2024-11-21,Routers,2.4 GHz; 5 GHz,"n, ac, 6",True,True,True,False
WFA132827,"ALPS ALPINE CO., LTD",7-INCH AUDIO/VIDEO RECEIVER,iLX-W770,2024-11-21,Routers,5 GHz,"n, ac",True,True,False,False
WFA133558,"ALPS ALPINE CO., LTD",7-INCH AUDIO/VIDEO RECEIVER,iLX-W770A,2024-11-21,Routers,5 GHz,"n, ac",True,True,False,False
WFA133559,"ALPS ALPINE CO., LTD",7-INCH AUDIO/VIDEO RECEIVER,iLX-W770E,2024-11-21,Routers,5 GHz,"n, ac",True,True,False,False
WFA133560,"ALPS ALPINE CO., LTD",7-INCH AUDIO/VIDEO RECEIVER,DA7-WL,2024-11-21,Routers,5 GHz,"n, ac",True,True,False,False
WFA133462,"Guangdong Hengqin Xingtong Technology Co.,ltd.",tablet computer,T100,2024-11-20,"Tablets, Ereaders & Cameras",2.4 GHz; 5 GHz,"n, ac",True,True,False,False
